v,vw,o,c,h,l,t,n
5935415.0,152.0254,151.99,151.59,153.035,151.56,1712548800000,101957
6135556.0,152.0571,151.55,152.29,152.5301,150.94,1712635200000,95649
6809519.0,150.3898,151.53,150.2,151.82,149.76,1712721600000,114751
8374434.0,149.0523,150.8,148.79,150.87,148.39,1712808000000,111732
7100178.0,147.8182,148.06,147.52,149.065,147.15,1712894400000,113964
8243324.0,148.1949,148.37,147.59,149.49,147.37,1713153600000,129346
12295839.0,144.7347,145.01,144.45,146.25,143.39,1713240000000,180979
9189657.0,144.3039,145.0,144.77,145.41,143.54,1713326400000,131153
9535405.0,145.0422,144.98,145.74,145.8,143.13,1713412800000,126414
9210544.0,147.1995,146.15,147.91,148.13,144.54,1713499200000,115452
9443539.0,149.1034,148.51,149.12,150.27,147.3,1713758400000,130944
8790802.0,149.5868,149.86,149.56,150.49,148.2,1713844800000,118360
8981540.0,148.2143,148.14,148.53,148.99,146.86,1713931200000,132407
7319737.0,146.9716,149.37,146.82,149.58,146.33,1714017600000,119522
5689087.0,146.3579,146.7,146.14,147.175,145.95,1714104000000,95244
6028058.0,146.521,146.14,146.82,147.22,145.985,1714363200000,104420
8407527.0,145.1663,146.88,144.59,146.88,144.53,1714449600000,115671
13898460.0,150.4887,148.735,151.18,151.85,147.62,1714536000000,178868
8244104.0,149.8905,152.04,149.92,152.33,149.14,1714622400000,115974
6389876.0,148.9168,149.89,149.27,149.89,147.82,1714708800000,100634
4864927.0,148.6086,149.87,148.58,150.05,147.91,1714968000000,96351
6139277.0,148.8658,149.38,148.72,149.73,148.45,1715054400000,95821
7632398.0,149.0382,149.12,148.95,149.73,148.7,1715140800000,94270
6221240.0,149.6891,148.98,149.85,150.1,148.89,1715227200000,87094
5520069.0,149.658,150.0,149.91,150.09,149.19,1715313600000,86326
5238621.0,150.7535,150.04,151.22,152.0,149.705,1715572800000,96602
7668612.0,151.2947,151.85,151.38,152.21,150.7,1715659200000,83737
5223566.0,152.312,151.82,152.67,152.95,151.3,1715745600000,88387
7361448.0,153.8336,153.0,154.28,154.38,152.33,1715832000000,98239
5971128.0,154.4331,154.86,154.64,154.86,153.7129,1715918400000,85841
6950916.0,151.8008,153.1,151.27,153.39,151.26,1716177600000,100366
5281594.0,151.2328,151.78,151.24,152.585,150.785,1716264000000,82445
6502923.0,153.1463,150.84,153.5,154.08,150.32,1716350400000,98619
6785123.0,150.5081,152.75,149.7,152.84,149.375,1716436800000,108109
8894401.0,147.6465,149.53,146.97,149.8139,146.76,1716523200000,114036
10381582.0,144.7725,146.79,144.38,146.79,144.1502,1716868800000,142773
6994132.0,144.4958,143.82,144.44,145.415,143.71,1716955200000,110453
7280140.0,145.0108,144.62,145.28,145.61,144.02,1717041600000,97527
14058871.0,146.7064,145.57,146.67,147.48,145.19,1717128000000,111892
6380259.0,147.8512,147.25,147.74,148.9,146.77,1717387200000,114068
7840115.0,147.3725,147.48,147.8,148.31,146.19,1717473600000,109572
5783136.0,146.3985,147.97,145.97,147.99,145.855,1717560000000,101124
4882337.0,146.3675,145.5,146.42,147.0,144.66,1717646400000,90058
4714895.0,147.3662,146.68,147.08,148.3,146.34,1717732800000,72842
5552589.0,146.752,146.53,147.13,147.56,145.6,1717992000000,100877
5314804.0,146.4714,146.81,146.76,147.16,145.44,1718078400000,90546
5695275.0,145.6429,147.06,145.41,147.21,144.78,1718164800000,108195
5135626.0,145.1524,145.07,145.45,146.0,143.88,1718251200000,89628
3787095.0,145.3028,145.14,145.54,145.97,144.48,1718337600000,77905
5288586.0,145.7569,145.02,145.95,146.43,144.74,1718596800000,96606
5889174.0,145.6532,145.96,145.65,146.39,145.265,1718683200000,93749
7953735.0,147.1375,145.27,147.78,148.08,145.01,1718856000000,121255
13954223.0,148.5819,147.89,148.75,149.08,147.37,1718942400000,101691
6286913.0,149.1183,149.0,149.12,149.7199,148.17,1719201600000,116663
5661120.0,147.5913,149.18,147.19,149.2,146.94,1719288000000,92138
5053895.0,146.7276,146.2,146.82,147.19,145.78,1719374400000,87301
5560030.0,145.8982,146.8,145.8,147.36,144.84,1719460800000,100007
9836464.0,146.2291,146.04,146.16,147.07,145.65,1719547200000,102859
5033591.0,146.5943,146.07,146.44,148.7,145.6201,1719806400000,102261
5320930.0,146.165,146.43,146.03,147.15,145.74,1719892800000,96861
3190494.0,145.3548,146.2,145.69,146.65,144.74,1719979200000,70834
4690682.0,145.7879,145.77,146.48,146.55,144.5,1720152000000,97119
4594954.0,145.8494,146.4,145.48,147.22,145.25,1720411200000,95977
5706992.0,146.5974,145.67,147.05,147.13,145.18,1720497600000,95629
